Species	DNMT1	Dim2	DNMT5	DNMT3(all)	UHRF1	CDCA7 (I)	CDCA7 (Class II)	HELLS	SMARCA2/4	INO80	RAD54L	EZH1	EED	Suz12
Crassostrea gigas	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Lingula anatina	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Helobdella robusta	1	0	0	1	1	1	0	1	1	1	1	1	1	0
Owenia fusiformis	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Capitella teleta	1	0	0	1	1	1	0	1	1	1	0	1	1	1
Dimorphilus gyrociliatus	1	0	0	0	1	0	0	0	1	1	1	1	1	1
Intoshia linei	0	0	0	0	0	0	0	0	1	0	1	1	1	1
Macrostomum lignano	1	0	0	1	1	0	0	1	1	0	1	1	1	1
Schistosoma mansoni	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Fasciola hepatica	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Opisthorchis viverrini	0	0	0	0	0	0	0	1	1	1	1	1	1	1
Echinococcus granulosus	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Mesocestoides corti	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Rotaria magnacalcarata	0	0	0	0	0	0	0	1	1	0	1	1	1	1
Rotaria sp. Silwood1	0	0	0	0	0	0	0	1	1	0	1	1	1	1
Adineta steineri	0	0	0	0	0	0	0	1	1	0	1	1	1	1
Priapulus caudatus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Trichinella spiralis	0	0	0	1	0	0	0	1	1	0	1	1	1	0
Toxocara canis	0	0	0	0	0	0	0	0	1	0	1	1	1	1
Caenorhabditis elegans	0	0	0	0	0	0	0	0	1	0	1	1	1	0
Ramazzottius varieornatus	0	0	0	0	0	0	0	0	1	1	1	1	1	0
Limulus polyphemus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Centruroides sculpturatus	1	0	0	1	1	0	0	0	1	1	1	1	1	1
Parasteatoda tepidariorum	1	0	0	1	1	0	0	1	1	1	1	1	1	1
Tetranychus urticae	1	0	0	1	1	0	0	0	1	0	1	1	1	1
Varroa jacobsoni	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Folsomia candida	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Allacma fusca	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Orchesella cincta	0	0	0	0	0	0	0	0	1	0	1	1	1	1
Amphibalanus amphitrite	1	0	0	1	1	0	0	1	1	1	1	1	1	1
Eurytemora affinis	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Hyalella azteca	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Penaeus vannamei	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Daphnia pulex	1	0	0	1	1	0	0	1	1	1	1	1	1	1
Ladona fulva	1	0	0	0	1	0	0	0	1	0	1	1	1	1
Cloeon dipterum	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Timema cristinae	1	0	0	0	1	0	0	1	1	1	1	1	1	1
Zootermopsis nevadensis	1	0	0	1	0	1	0	1	1	1	1	1	1	1
Blattella germanica	1	0	0	1	1	1	0	1	1	0	1	1	1	1
Frankliniella occidentalis	1	0	0	1	1	0	0	1	1	1	1	1	1	1
Thrips palmi	1	0	0	1	1	0	0	1	1	1	1	1	1	1
Cimex lectularius	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Acyrthosiphon pisum	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Bemisia tabaci	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Pediculus humanus	1	0	0	0	1	0	0	1	1	1	1	1	1	1
Orussus abietinus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Copidosoma floridanum	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Nasonia vitripennis	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Fopius arisanus	0	0	0	1	0	0	0	1	1	1	1	1	1	1
Microplitis demolitor	1	0	0	0	1	0	0	1	1	1	1	1	1	1
Polistes canadensis	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Habropoda laboriosa	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Melipona quadrifasciata	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Bombus terrestris	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Ooceraea biroi	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Nicrophorus vespilloides	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Tribolium castaneum	1	0	0	0	1	0	0	1	1	1	1	1	1	1
Dendroctonus ponderosae	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Leptinotarsa decemlineata	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Anoplophora glabripennis	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Papilio xuthus	1	0	0	0	1	0	0	0	1	1	1	1	1	1
Bombyx mori	1	0	0	0	1	0	0	0	1	1	1	1	1	1
Ctenocephalides felis	1	0	0	0	1	1	0	1	1	1	1	1	1	1
Stomoxys calcitrans	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Drosophila melanogaster	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Aedes aegypti*	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Branchiostoma floridae	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Oikopleura dioica	0	0	0	0	0	0	0	0	1	0	1	1	1	1
Styela clava	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Ciona intestinalis	1	0	0	1	1	1	0	1	1	0	1	1	1	1
Phallusia mammillata	1	0	0	1	1	1	0	1	1	0	1	1	1	1
Petromyzon marinus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Rhincodon typus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Tetraodon nigroviridis	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Takifugu rubripes	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Poecilia formosa	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Danio rerio*	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Astyanax mexicanus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Latimeria chalumnae	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Protopterus annectens	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Xenopus laevis	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Nanorana parkeri	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Geotrypetes seraphini	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Microcaecilia unicolor	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Python bivittatus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Anolis carolinensis	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Chrysemys picta	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Gallus gallus	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Opisthocomus hoazin	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Mus musculus*	1	0	0	1	1	1	0	1	1	1	1	1	1	1
Homo sapiens*	1	0	0	1	1	1	0	1	1	1	1	1	1	1
